1,Japanese Style,17,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
2,Rickards Red,23,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
3,Lamancha Do Crianza,20,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
4,Tarragon Chicken,28,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
5,"Roll, Soft White Round",17,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
6,Seed,12,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
7,Hazelnut Cream,20,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
8,"White, Gg White",27,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
9,Demi Glace,18,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
12,"Sweet, 2",9,at turpis a pede posuere nonummy integer non velit donec
14,"Gaylan, Chinese",20,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti
15,"Savory, 3",9,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus
16,Greek Salad,9,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
17,Miss Vickies,10,nam dui proin leo odio porttitor id consequat in consequat
19,Hngd Cll Blk 7x7x3,6,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
20,Niagara Peninsula Vqa,15,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
21,Lime Rickey,7,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
22,Safflower,21,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
23,Le Cheve Noir,21,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
24,Baby,29,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
25,Lemon Green Tea,22,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
26,Le Cru Du Clocher,20,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
28,Stuffed,12,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor
29,Vouvray Cuvee Domaine,26,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
30,"Tongue, Fresh",12,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum
31,Lamancha Do Crianza,25,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci
32,Baby Pea Tendrils,17,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
33,Cranberry,7,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque
36,"Natural, 591 Ml",19,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
37,Red,12,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
38,"Spring Roll, Veg",26,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat
39,Cantaloupe,19,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
40,Assorted Teas,5,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
41,"Chicken, White",25,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
42,Cool Blue Raspberry,21,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
43,English Muffin,25,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
44,Cheddar With Claret,12,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
45,Fresh,16,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut
47,Gorgonzola,24,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
49,Dk Choocolate,16,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
50,"Whole, Boneless",7,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
52,"Schweppes, 355 Ml",24,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
54,"Bones, Marrow",15,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
55,"Base, Bouillion",27,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
57,"Multigrain, Loaf",12,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
60,"Bacon, Sliced",7,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum
61,Montreal Smoked Brisket,18,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
62,Dark,24,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida
63,Ramazzotti,19,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
